Siruta,Localitate,Judet,Abs_liceal,Abs_postlic,Abs_primar_gimn,Abs_profes,Abs_tehnic,Abs_univ,Pop_liceal,Pop_profess,Pop_primar_gimn,Pop_univ
111444,Cujmir,MH,97,0,34,0,0,0,505,0,267,0
111480,Devesel,MH,0,0,15,0,0,0,0,0,261,0
111550,Darvari,MH,0,0,24,0,0,0,0,0,209,0
111587,Dumbrava,MH,0,0,14,0,0,0,0,0,98,0
111685,Floresti,MH,0,0,21,0,0,0,0,0,152,0
111783,Garla Mare,MH,0,0,17,0,0,0,0,0,130,0
111818,Godeanu,MH,0,0,0,0,0,0,0,0,13,0
111863,Gogosu,MH,0,0,15,0,0,0,0,0,312,0
111916,Greci,MH,0,0,8,0,0,0,0,0,68,0
111989,Grozesti,MH,0,0,15,0,0,0,0,0,185,0
112030,Gruia,MH,0,0,18,0,0,0,0,0,280,0
112076,Hinova,MH,0,0,24,0,0,0,0,0,210,0
112129,Husnicioara,MH,0,0,11,0,0,0,0,0,70,0
112245,Eselnita,MH,0,0,11,0,0,0,0,0,189,0
112263,Ilovat,MH,0,0,10,0,0,0,0,0,70,0
112334,Ilovita,MH,0,0,11,0,0,0,0,0,105,0
112370,Isverna,MH,0,0,26,0,0,0,0,0,173,0
112469,Izvoru Barzii,MH,148,0,20,0,0,0,549,70,125,0
112548,Jiana,MH,0,0,34,0,0,0,0,0,422,0
112600,Livezile,MH,0,0,17,0,0,0,0,0,123,0
112664,Malovat,MH,0,0,20,0,0,0,0,0,153,0
112744,Obarsia De Camp,MH,0,0,12,0,0,0,0,0,96,0
112771,Oprisor,MH,0,0,14,0,0,0,0,0,120,0
112806,Padina,MH,0,0,0,0,0,0,0,0,42,0
112879,Patulele,MH,0,0,31,0,0,0,0,0,244,0
112904,Dubova,MH,0,0,2,0,0,0,0,0,31,0
112959,Podeni,MH,0,0,4,0,0,0,0,0,49,0
112995,Ponoarele,MH,0,0,23,0,0,0,0,0,199,0
113153,Poroina Mare,MH,0,0,0,0,0,0,0,0,31,0
113206,Pristol,MH,0,0,4,0,0,0,0,0,62,0
113233,Prunisor,MH,0,0,12,0,0,0,0,0,110,0
113395,Punghina,MH,0,0,11,0,0,0,0,0,220,0
113466,Rogova,MH,0,0,13,0,0,0,0,0,118,0
113493,Salcia,MH,0,0,14,0,0,0,0,0,150,0
113518,Stangaceaua,MH,0,0,18,0,0,0,0,0,95,0
113607,Svinita,MH,0,0,7,0,0,0,0,0,43,0
113625,Sisesti,MH,21,0,32,0,0,0,102,0,201,0
113698,Sovarna,MH,0,0,11,0,0,0,0,0,77,0
113732,Tamna,MH,0,0,24,0,0,0,0,0,245,0
113849,Vanatori,MH,0,0,14,0,0,0,0,0,123,0
113894,Vanjulet,MH,0,0,18,0,0,0,0,0,168,0
113929,Vladaia,MH,0,0,16,0,0,0,0,0,156,0
113974,Voloiac,MH,0,0,13,0,0,0,0,0,149,0
114060,Branistea,MH,0,0,14,0,0,0,0,0,113,0
114079,Vrata,MH,0,0,16,0,0,0,0,0,148,0
114319,Municipiul Targu Mures,MS,1973,628,1317,54,61,2578,8380,1028,12520,11603
114355,Cristesti,MS,0,0,21,0,0,0,0,0,372,0
114382,Sancraiu De Mures,MS,0,0,41,0,0,0,0,0,478,0
114417,Sangeorgiu De Mures,MS,0,0,47,0,0,0,0,0,622,0
114453,Santana De Mures,MS,0,0,19,0,0,0,0,0,266,0
114514,Municipiul Sighisoara,MS,412,88,304,17,0,0,1571,231,2603,0
114603,Albesti,MS,0,0,18,0,0,0,0,0,367,0
114710,Oras Ludus,MS,199,0,152,24,0,0,761,174,1512,0
114809,Municipiul Reghin,MS,448,79,362,19,0,0,1869,413,3738,0
114854,Oras Sovata,MS,83,31,96,29,0,0,402,168,879,0
114925,Municipiul Tarnaveni,MS,261,0,229,37,0,0,988,205,1928,0
114970,Acatari,MS,0,0,38,0,0,0,0,0,335,0
115076,Adamus,MS,0,0,28,0,0,0,0,0,305,0
115147,Alunis,MS,0,0,26,0,0,0,0,0,242,0
115183,Apold,MS,0,0,27,0,0,0,0,0,331,0
115236,Atintis,MS,0,0,12,0,0,0,0,0,114,0
115307,Bahnea,MS,0,0,45,0,0,0,0,0,415,0
115389,Band,MS,10,0,60,0,0,0,14,73,740,0
115520,Batos,MS,0,0,29,0,0,0,0,0,327,0
115575,Bagaciu,MS,0,0,41,0,0,0,0,0,265,0
115600,Bala,MS,0,0,4,0,0,0,0,0,35,0
115637,Balauseri,MS,0,0,33,0,0,0,0,0,491,0
115708,Beica De Jos,MS,0,0,12,0,0,0,0,0,198,0
115771,Bichis,MS,0,0,8,0,0,0,0,0,47,0
115824,Bogata,MS,0,0,11,0,0,0,0,0,103,0
115851,Breaza,MS,0,0,5,0,0,0,0,0,118,0
115897,Brancovenesti,MS,0,0,28,0,0,0,0,0,233,0
115959,Ceuasu De Campie,MS,9,0,52,0,0,0,32,0,517,0
116046,Chetani,MS,0,0,27,0,0,0,0,0,180,0
116126,Chiheru De Jos,MS,0,0,13,0,0,0,0,0,136,0
116171,Coroisanmartin,MS,0,0,6,0,0,0,0,0,135,0
116224,Cozma,MS,0,0,6,0,0,0,0,0,38,0
116288,Craciunesti,MS,0,0,25,0,0,0,0,0,421,0
116340,Craiesti,MS,0,0,10,0,0,0,0,0,71,0
116395,Cucerdea,MS,0,0,4,0,0,0,0,0,56,0
116439,Cuci,MS,0,0,15,0,0,0,0,0,147,0
116493,Danes,MS,0,0,29,0,0,0,0,0,518,0
116545,Deda,MS,32,17,18,0,0,0,215,59,435,0
116590,Eremitu,MS,0,0,43,0,0,0,0,0,390,0
116652,Ernei,MS,46,0,46,0,0,0,22,93,524,0
116723,Faragau,MS,0,0,14,0,0,0,0,0,228,0
116796,Fantanele,MS,0,0,36,0,0,0,0,0,433,0
