Siruta,X_c1,X_c2
11307,-0.2555502429238365,-0.0004961843521775827
11352,-0.18055210552232406,-0.0004964014415937628
11398,0.007719362497050121,-0.0004969464117022504
11423,-0.13030825530235657,-0.0004965468773137393
11478,-0.2474213598394678,-0.0004962078820216804
11502,-0.2030597164745209,-0.0004963362911208167
11539,-0.10771894703272888,-0.0004966122642675312
11584,0.2919443298389476,-0.0004977691285637621
11637,-0.2111885995588896,-0.0004963127612766772
11664,-0.22854927951294346,-0.0004962625090969952
11735,-0.19582950388189138,-0.0004963572196756457
11762,-0.23757683308905142,-0.0004962363779635685
11842,-0.16551979911504924,-0.0004964449540693301
11940,-0.031086863282599596,-0.0004968340833006194
11995,-0.16298718227469317,-0.0004964522849755283
12037,-0.11196720753913264,-0.0004965999672635682
12055,-0.12797988175557756,-0.0004965536170178367
12091,0.3537075018166637,-0.0004979479080830118
12126,-0.19198972996264188,-0.0004963683342753769
12144,-0.11511255426022003,-0.0004965908627510072
12206,-0.15873892176828938,-0.0004964645819795006
12224,-0.1662550749719268,-0.0004964428257417133
12242,-0.11029241253180042,-0.0004966048151208922
12288,-0.24925954948166174,-0.0004962025612026767
12340,-0.10392002177219474,-0.0004966232606268481
12368,0.08602624125451165,-0.0004971730785926788
12402,-0.27197140372743567,-0.0004961368195276402
12457,-0.21698910909647934,-0.0004962959711366687
12509,-0.03161789584590005,-0.0004968325461751315
12572,-0.21617213592217094,-0.0004962983359451206
12643,-0.004535235117576099,-0.0004969109395754228
12689,-0.17548687184161188,-0.0004964161034061707
12778,-0.09681235515571156,-0.0004966438344604035
12812,-0.17287255768382495,-0.0004964236707932297
12849,-0.22605751133130275,-0.0004962697217628081
12876,-0.08484369815209328,-0.0004966784789042683
12912,-0.2192766339845429,-0.0004962893496729947
12920,-0.17205558450951652,-0.0004964260356016863
12938,-0.16907363242329082,-0.0004964346671525501
13169,6.937163281004876,-0.0005170043622969862
13187,0.1448483098047175,-0.0004973433448014349
13276,0.03010442747310065,-0.0004970112074539044
13301,1.1266866706885705,-0.0005001853716029075
13365,-0.07054666760169602,-0.0004967198630522397
13392,0.33744973564792624,-0.0004979008483947005
13490,1.2245600569707182,-0.000500468675655746
13524,-0.11025156387308496,-0.0004966049333613237
13622,1.080936172927299,-0.0005000529423294007
13668,0.14970930019185258,-0.0004973574154117491
13757,0.10056836375720143,-0.000497215172183156
13819,-0.0375818000183515,-0.0004968152830733975
13891,-0.22070633703958265,-0.0004962852112581718
13935,-0.12450774576476682,-0.0004965636674537745
13999,-0.1481591191609954,-0.0004964952062489949
14049,-0.1843510307828582,-0.0004963904452344284
14085,-0.16658186424165014,-0.0004964418798183377
14165,-0.03541682110643419,-0.0004968215498158094
14272,-0.11862553890974621,-0.0004965806940746588
14352,-0.20828834479009473,-0.0004963211563466988
14405,-0.1416641824252435,-0.000496514006476221
14450,-0.09591368466397229,-0.0004966464357497116
14584,-0.10122401029697699,-0.0004966310644947538
14673,-0.18578073383789792,-0.000496386306819631
14726,-0.23867974687436774,-0.0004962331854721676
14753,-0.21082096163045083,-0.000496313825440489
14851,-0.11637886268039808,-0.0004965871972979023
14922,-0.15906571103801276,-0.0004964636360561248
14940,-0.05400296082195062,-0.0004967677504234529
15064,-0.188313350678254,-0.0004963789759134259
15108,0.17082805674772508,-0.000497418545710305
15233,-0.13292256946014347,-0.0004965393099266943
15313,-0.19366452496997413,-0.000496363486418039
15402,-0.16212936044166928,-0.0004964547680244142
15448,-0.19905654792040967,-0.0004963478786822553
15493,-0.18904862653513158,-0.000496376847585823
15554,-0.2381487143110673,-0.0004962347225976454
15652,-0.19027408629659417,-0.0004963733003731439
15741,-0.04481201261098096,-0.0004967943545185757
15830,-0.11772686841800696,-0.0004965832953639483
15901,-0.06919866186408713,-0.0004967237649861891
15983,-0.20698118771120128,-0.0004963249400402248
16132,-0.19913824523784052,-0.0004963476422014015
16285,-0.15796279725269638,-0.000496466828547528
16329,-0.24721711654589074,-0.0004962084732238125
16365,-0.13990769010048043,-0.0004965190908143848
16427,-0.2121689673680597,-0.0004963099235065454
16454,-0.15608375895178705,-0.0004964722676069782
16472,-0.17765185075352918,-0.0004964098366637706
16506,-0.20514299806900735,-0.0004963302608592563
16551,-0.162292755076531,-0.0004964542950627206
16613,-0.19162209203420308,-0.0004963693984391887
16659,-0.19145869739934138,-0.0004963698714008684
16739,-0.19517592534244466,-0.0004963591115224087
16757,-0.05187883056874875,-0.0004967738989254322
16908,-0.09546434941810267,-0.0004966477363943598
16944,-0.17462905000858808,-0.0004964185864550381
17049,-0.09358531111719331,-0.000496653175453802
17101,-0.0953418034419564,-0.0004966480911156243
17209,-0.09611792795754939,-0.0004966458445475898
17254,-0.034763242566987464,-0.0004968234416625723
17334,-0.2196034232542663,-0.0004962884037495727
17398,-0.18827250201953857,-0.0004963790941538643
17423,-0.20914616662311855,-0.0004963186732978129
17496,-0.0517971332513179,-0.0004967741354062859
17575,-0.1975042988892237,-0.0004963523718183078
17619,-0.1345156671500449,-0.0004965346985502033
17726,-0.20138492146718867,-0.0004963411389781406
17771,-0.2259349653551565,-0.000496270076484054
17824,-0.16919617839943707,-0.0004964343124312788
17851,-0.05339023094121932,-0.000496769524029792
17913,-0.24419431580094952,-0.0004962172230151148
17968,-0.14566735097935476,-0.000496502418914779
18028,-0.018873114326688794,-0.0004968694371870258
18162,-0.2027329272047975,-0.0004963372370442062
18242,-0.14072466327478886,-0.0004965167260059352
18331,-0.15984183555360576,-0.0004964613894880927
18411,-0.17189218987465485,-0.0004964265085633661
18475,-0.18271708443424134,-0.0004963951748513417
18527,-0.03794943794679027,-0.0004968142189096038
18554,-0.19403216289841288,-0.0004963624222542342
18581,-0.21858220678638077,-0.0004962913597601452
18670,-0.07769518287689466,-0.000496699170978254
18741,-0.09003147780895171,-0.0004966634623705912
18778,-0.07977846447138111,-0.0004966931407166948
18858,-0.09791526894102791,-0.0004966406419689853
18938,-0.1597601382361749,-0.0004964616259689326
19007,-0.15971928957745948,-0.0004964617442093479
19114,-0.18839504799568485,-0.0004963787394325721
19141,-0.18488206334615867,-0.0004963889081089415
19212,-0.22957049598082893,-0.0004962595530864388
19249,-0.1422360636472594,-0.0004965123511103014
