Siruta,Y_c1,Y_c2
10373,-0.10323457687503043,-5.285746086729215e-05
10417,-0.13790578887937788,-5.283954552105139e-05
10453,-0.11444241771972462,-5.285166953963017e-05
10514,-0.1036975094316591,-5.285722166029285e-05
10532,-0.0994092920649935,-5.2859437472611796e-05
10649,-0.14061028960494537,-5.283814804848613e-05
10701,-0.1336906661269168,-5.284172356382957e-05
10765,-0.13539620712502243,-5.2840842274831446e-05
10827,-0.09341553370022226,-5.286253457392887e-05
10872,-0.07048818971140222,-5.2874381615967995e-05
10916,-0.1079857267983247,-5.2855005847960016e-05
10943,-0.0749713260492799,-5.2872065084906314e-05
11058,-0.1026010902185912,-5.285778820321053e-05
11174,-0.14012299217691518,-5.283839984532338e-05
11236,-0.1390753027066503,-5.283894120859251e-05
11307,-0.15242725223467726,-5.2832041974771476e-05
11352,-0.10769334834150661,-5.2855156926068e-05
11398,0.004604343948048797,-5.291318351136852e-05
11423,-0.07772455651765041,-5.287064243267987e-05
11478,-0.14757864282577698,-5.2834547353468454e-05
11502,-0.1211183924837381,-5.284821992270578e-05
11539,-0.0642507826326159,-5.2877604615717364e-05
11584,0.17413511915974897,-5.3000783637372604e-05
11637,-0.1259670018926384,-5.2845714544009634e-05
11664,-0.1363220722382798,-5.284036386083284e-05
11735,-0.116805810245671,-5.285044832487614e-05
11762,-0.1417067088180133,-5.2837581505596614e-05
11842,-0.09872707566575124,-5.285978998820566e-05
11940,-0.01854228388338485,-5.290122316075624e-05
11995,-0.09721645363885768,-5.286057055846064e-05
12037,-0.06678472925837284,-5.287629527207181e-05
12055,-0.07633575884776439,-5.287136005370513e-05
12091,0.21097480471883073,-5.3019819479623837e-05
12126,-0.11451551233392915,-5.285163177010328e-05
12144,-0.06866082435628904,-5.287532585418237e-05
12206,-0.09468250701310074,-5.286187990211986e-05
12224,-0.09916564335097841,-5.285956337105777e-05
12242,-0.06578576953091098,-5.287681145563853e-05
12288,-0.14867506203884487,-5.283398081052343e-05
12340,-0.06198484959227554,-5.287877547109289e-05
12368,0.05131180242474171,-5.293731823995429e-05
12402,-0.16222193053808392,-5.282698085794495e-05
12457,-0.1294268136316527,-5.284392678631057e-05
12509,-0.01885902721160446,-5.290105949279011e-05
12572,-0.1289395162036225,-5.284417858317475e-05
12643,-0.0027051174724039284,-5.290940655853836e-05
12689,-0.10467210428771948,-5.285671806656407e-05
12778,-0.05774536196841297,-5.288096610375024e-05
12812,-0.10311275251802288,-5.285752381650799e-05
12849,-0.1348358150827877,-5.284113184120864e-05
12876,-0.050606454647770804,-5.288465492767373e-05
12912,-0.13079124643013718,-5.2843221755122845e-05
12920,-0.1026254550899927,-5.2857775613372585e-05
12938,-0.10084681947768254,-5.285869467188372e-05
