Code,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another
7099,99.31519192647323,0.1261488556496666,0.5586592178770949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7197,84.28217821782178,0.0,15.717821782178218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7348,94.45166883398353,0.30342436064152584,5.244906805374946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7384,97.50378214826021,0.794251134644478,1.70196671709531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7446,97.56387403446227,0.0,2.43612596553773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7767,99.48957890259464,0.5104210974053595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7810,96.71052631578947,0.0,3.289473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7865,70.13853258081068,23.858388917393537,5.720882503848127,0.0,0.2821959979476654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7945,95.71678321678321,0.17482517482517482,3.583916083916084,0.0,0.5244755244755245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8014,99.69650986342944,0.30349013657056145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8096,87.83359497645212,4.065934065934066,8.021978021978022,0.0,0.07849293563579278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8158,73.15569257872716,11.010790574763268,15.767452103061,0.06606474344857961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8229,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8354,93.10710498409331,2.332979851537646,4.029692470837752,0.0,0.5302226935312832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8425,99.81389578163771,0.0,0.18610421836228289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8826,96.99411892833805,1.001960357220649,1.7643214985841864,0.0,0.08712698758440428,0.0653452406883032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08712698758440428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9019,98.40075258701788,0.0,1.5992474129821261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9026,66.68213457076565,19.25754060324826,14.06032482598608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9262,85.76121548095678,10.536905861821168,1.7301440646066455,0.04174793826780276,0.8616500701502241,0.012319063751154912,0.009581494028676044,0.0,0.29086678301337987,0.22584950210450672,0.12319063751154913,0.0027375697224788693,0.004790747014338022,0.1580946514731547,0.06843924306197173,0.02806008965540841,0.019162988057352087,0.014372241043014064,0.004106354583718304,0.009581494028676044,0.0,0.09718372514799986
9280,86.6371982318939,7.990479428765726,0.5780346820809248,0.20401224073444407,0.7480448826929615,0.0,0.0,0.0,0.0,3.5362121727303637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3060183611016661
9333,89.66131907308377,8.591800356506239,0.28520499108734404,0.0,1.033868092691622,0.0,0.0,0.0,0.0,0.14260249554367202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28520499108734404
9360,66.1711530735235,33.587786259541986,0.0,0.0,0.24106066693451184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9397,95.49459351221465,2.1225470564677615,0.5206247496996396,0.08009611533840609,1.2815378454144974,0.0500600720865038,0.0,0.0,0.08009611533840609,0.22026431718061676,0.060072086503804564,0.0,0.0,0.030036043251902282,0.030036043251902282,0.0,0.0,0.0,0.0,0.0,0.0,0.030036043251902282
9459,73.67578385590393,19.25283522348232,6.230820547031354,0.0,0.45363575717144766,0.0,0.0,0.0,0.0400266844563042,0.3068712474983322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0400266844563042
9495,87.02064896755162,3.0678466076696163,9.52802359882006,0.20648967551622419,0.1327433628318584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04424778761061947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
