Siruta,Localitate,Diferenta_Barbati_Femei
113466,Rogova,-2006.8
51546,Bolvasnita,-2016.95
129718,Vadastra,-2018.4
111587,Dumbrava,-2019.85
159482,Valcani,-2019.85
179677,Camin,-2035.8
127411,Leleasca,-2038.7
179917,Rau Alb,-2043.05
107190,Basesti,-2043.05
160458,Grindu,-2044.5
154978,Zambreasca,-2044.5
179837,Coas,-2047.4
116395,Cucerdea,-2050.3
71340,Bulzesti,-2050.3
118511,Neaua,-2053.2
139937,Agrij,-2053.2
174511,Lacusteni,-2053.2
43117,Frecatei,-2054.65
76932,Oancea,-2056.1
89687,Gurasada,-2056.1
34477,Sanmihaiu De Campie,-2059.0
10765,Ususau,-2059.0
162559,Blagesti,-2059.0
54500,Varadia,-2060.45
33952,Monor,-2060.45
154308,Sarbeni,-2061.9
66955,Cornatelu,-2067.7
89954,Lapugiu De Jos,-2069.15
42472,Holbav,-2070.6
39959,Dimacheni,-2072.05
77601,Suhurlui,-2074.95
175224,Barsesti,-2080.75
110740,Breznita-Motru,-2082.2
61167,Cerchezu,-2082.2
171209,Madulari,-2090.9
12849,Zerind,-2092.35
57546,Dabaca,-2095.25
17771,Nucsoara,-2096.7
52909,Garnic,-2098.15
151451,Ciocanesti,-2099.6
58393,Manastireni,-2101.05
113206,Pristol,-2101.05
81754,Sacelu,-2108.3
160528,Horia,-2114.1
152662,Crangu,-2114.1
157273,Giera,-2115.55
30416,Pocola,-2115.55
57225,Ciurila,-2118.45
169583,Fauresti,-2121.35
112600,Livezile,-2121.35
109425,Vima Mica,-2127.15
130320,Gradinile,-2127.15
40035,Adaseni,-2130.05
151932,Crevenicu,-2130.05
170444,Gusoeni,-2131.5
74224,Silistea Crucii,-2131.5
127563,Milcov,-2132.95
119625,Stanceni,-2134.4
155136,Purani,-2135.85
77260,Smulti,-2137.3
93646,Giurgeni,-2137.3
89348,Densus,-2138.75
130311,Ghimpeteni,-2143.1
139250,Urziceni,-2147.45
28139,Capalna,-2148.9
84148,Corbu,-2148.9
120496,Sarateni,-2151.8
153384,Mosteni,-2154.7
10701,Dieci,-2160.5
74923,Intorsura,-2163.4
59238,Risca,-2166.3
50399,Valcelele,-2166.3
59283,Sacuieu,-2166.3
126825,Dobrun,-2167.75
56096,Bobalna,-2169.2
64005,Brates,-2170.65
53791,Sasca Montana,-2172.1
140244,Benesat,-2172.1
26379,Itesti,-2173.55
151497,Cosna,-2177.9
145907,Tilisca,-2188.05
100308,Draguseni,-2193.85
160323,Dorobantu,-2198.2
42771,Surdila-Greci,-2202.55
62949,Silistea,-2202.55
71812,Cioroiasi,-2202.55
116171,Coroisanmartin,-2202.55
179864,Oncesti,-2204.0
161561,Valea Teilor,-2205.45
127536,Mihaesti,-2208.35
42464,Sambata De Sus,-2214.15
3459,Bucium,-2218.5
79656,Ciuperceni,-2221.4
54537,Vermes,-2224.3
138805,Sauca,-2227.2
125123,Valeni,-2228.65
125141,Pancesti,-2233.0
58918,Petrestii De Jos,-2234.45
151530,Balaceana,-2235.9
130295,Calui,-2235.9
179766,Isvoarele,-2240.25
9832,Archis,-2240.25
6976,Salciua,-2246.05
151709,Ciuperceni,-2247.5
162452,Balteni,-2247.5
57831,Geaca,-2253.3
58204,Izvoru Crisului,-2254.75
74359,Terpezita,-2256.2
130357,Osica De Jos,-2256.2
125132,Draganesti,-2257.65
170097,Ghioroiu,-2259.1
100344,Roscani,-2260.55
2577,Avram Iancu,-2262.0
130348,Ipotesti,-2264.9
88868,Bucuresci,-2264.9
47159,Largu,-2269.25
174254,Voineasa,-2270.7
155957,Barna,-2272.15
179720,Poiana Ilvei,-2272.15
116126,Chiheru De Jos,-2273.6
57163,Ciucea,-2275.05
32955,Ciceu-Giurgesti,-2277.95
58534,Marisel,-2277.95
77561,Radesti,-2279.4
59434,Sancraiu,-2279.4
155154,Uda-Clocociov,-2280.85
13891,Albestii De Muscel,-2282.3
72882,Izvoare,-2283.75
162791,Bogdanita,-2283.75
88546,Branisca,-2285.2
174218,Voicesti,-2285.2
115236,Atintis,-2286.65
155118,Fantanele,-2288.1
29760,Lazuri De Beius,-2291.0
144964,Merghindeal,-2292.45
161348,Stejaru,-2293.9
64238,Chichis,-2296.8
58464,Margau,-2299.7
167222,Ibanesti,-2305.5
132645,Chiojdeanca,-2306.95
162069,Alexandru Vlahuta,-2309.85
155724,Beba Veche,-2309.85
138538,Pir,-2311.3
42449,Sinca Noua,-2314.2
175260,Boghesti,-2315.65
179980,Marculesti,-2315.65
178947,Obrejita,-2320.0
65113,Arcus,-2320.0
53639,Ramna,-2321.45
17334,Mioarele,-2321.45
6930,Rosia De Secas,-2321.45
155546,Balint,-2321.45
55776,Aschileu,-2322.9
53755,Sacu,-2325.8
53700,Eftimie Murgu,-2325.8
51948,Ciclova Romana,-2327.25
147205,Breaza,-2330.15
156534,Criciova,-2331.6
126772,Dobroteasa,-2331.6
12912,Dorobanti,-2333.05
140084,Babeni,-2337.4
128436,Priseaca,-2341.75
130286,Balteni,-2346.1
119803,Sincai,-2347.55
162595,Bogdana,-2350.45
155109,Dracea,-2353.35
4302,Farau,-2353.35
18581,Sapata,-2357.7
104341,Nicolae Balcescu,-2359.15
3805,Cergau,-2360.6
113929,Vladaia,-2363.5
155083,Beciu,-2363.5
63334,Fantanele,-2366.4
92907,Balaciu,-2366.4
72819,Grecesti,-2367.85
162149,Arsura,-2369.3
144376,Bradeni,-2375.1
86495,Racu,-2376.55
123709,Poienari,-2376.55
120502,Madaras,-2379.45
172279,Pesceana,-2379.45
44989,Balaceanu,-2379.45
137363,Cehal,-2385.25
176551,Jitia,-2388.15
108918,Salsig,-2389.6
74883,Dobrotesti,-2389.6
179800,Maia,-2393.95
80506,Hurezani,-2395.4
70673,Amarastii De Sus,-2396.85
128962,Spineni,-2399.75
73246,Mischii,-2399.75
154068,Scurtu Mare,-2399.75
159847,Beidaud,-2401.2
78828,Barbatesti,-2402.65
8425,Vidra,-2404.1
159393,Fibis,-2405.55
72409,Ghercesti,-2411.35
12457,Taut,-2414.25
59657,Suatu,-2418.6
126228,Colonesti,-2418.6
54350,Tarnova,-2421.5
23868,Oncesti,-2422.95
63777,Aita Mare,-2422.95
154344,Slobozia Mandra,-2425.85
97777,Madarjac,-2428.75
52570,Dalboset,-2430.2
86311,Varsag,-2430.2
140958,Dobrin,-2431.65
178885,Negrilesti,-2433.1
157923,Nitchidorf,-2434.55
73594,Perisor,-2436.0
62985,Targusor,-2436.0
92177,Zam,-2436.0
146021,Boita,-2437.45
7197,Scarisoara,-2438.9
83428,Oras Baile Tusnad,-2441.8
142676,Sanmihaiu Almasului,-2441.8
12572,Varadia De Mures,-2443.25
23127,Izvoru Berheciului,-2447.6
127812,Oboga,-2450.5
154914,Viisoara,-2453.4
53103,Lapusnicu Mare,-2457.75
4525,Garda De Sus,-2459.2
113974,Voloiac,-2459.2
151996,Balaci,-2463.55
140440,Camar,-2467.9
143995,Atel,-2469.35
126102,Cezieni,-2470.8
74732,Vartop,-2473.7
104975,Schitu,-2476.6
40544,Beclean,-2478.05
167268,Ciocani,-2479.5
102838,Frasinet,-2483.85
140869,Cuzaplac,-2483.85
159516,Bucovat,-2492.55
167311,Pochidia,-2495.45
2381,Arieseni,-2496.9
130339,Gura Padinii,-2498.35
136269,Vadu Sapat,-2502.7
80677,Lelesti,-2508.5
157736,Manastiur,-2509.95
159446,Padureni,-2512.85
81987,Schela,-2512.85
130375,Visina Noua,-2512.85
58856,Panticeu,-2512.85
116723,Faragau,-2520.1
52785,Farliug,-2521.55
61808,Garliciu,-2523.0
132486,Carbunesti,-2524.45
94731,Valcelele,-2525.9
156927,Fardea,-2527.35
74242,Sopot,-2530.25
167259,Pogonesti,-2531.7
51305,Bania,-2534.6
117275,Grebenisu De Campie,-2536.05
159491,Livezile,-2541.85
97394,Grozesti,-2546.2
171101,Maciuca,-2547.65
52115,Cornea,-2562.15
77587,Poiana,-2563.6
170685,Ladesti,-2563.6
129282,Stefan Cel Mare,-2566.5
81656,Samarinesti,-2567.95
120478,Chibed,-2567.95
64719,Poian,-2570.85
175439,Bordesti,-2570.85
132379,Boldesti-Gradistea,-2572.3
152797,Dracsenei,-2572.3
90208,Luncoiu De Jos,-2573.75
112744,Obarsia De Camp,-2576.65
47854,Naeni,-2581.0
125490,Draghiceni,-2585.35
16427,Dobresti,-2585.35
52856,Forotic,-2586.8
71723,Cernatesti,-2589.7
118753,Pasareni,-2591.15
93325,Dichiseni,-2592.6
103309,Gogosari,-2594.05
163208,Cretesti,-2596.95
105794,Valea Macrisului,-2596.95
154415,Stejaru,-2598.4
161151,Peceneaga,-2599.85
167286,Dodesti,-2604.2
7446,Sohodol,-2605.65
77288,Suceveni,-2605.65
34360,Romuli,-2607.1
30871,Sacadat,-2610.0
172509,Racovita,-2612.9
120316,Voivodeni,-2612.9
157004,Foeni,-2612.9
122285,Dobreni,-2620.15
11637,Peregu Mare,-2620.15
41346,Lisa,-2623.05
141786,Letca,-2625.95
168309,Amarasti,-2627.4
74915,Ghindeni,-2630.3
143502,Poplaca,-2631.75
14753,Bradulet,-2633.2
63045,Topalu,-2633.2
6048,Noslac,-2634.65
166707,Viisoara,-2634.65
78542,Alimpesti,-2637.55
127322,Icoana,-2640.45
65121,Bixad,-2640.45
59826,Taga,-2640.45
171021,Malaia,-2643.35
175787,Corbita,-2644.8
154736,Traian,-2644.8
101724,Cascioarele,-2646.25
137899,Homoroade,-2647.7
161552,Bestepe,-2649.15
97553,Ipatele,-2652.05
100282,Costesti,-2654.95
142854,Samsud,-2659.3
10051,Barsa,-2659.3
28193,Carpinet,-2660.75
43242,Gemenele,-2665.1
43787,Romanu,-2668.0
62609,Pantelimon,-2669.45
135146,Salciile,-2673.8
88047,Bacia,-2673.8
113894,Vanjulet,-2673.8
76638,Jorasti,-2676.7
118931,Rastolita,-2676.7
66401,Bilciuresti,-2678.15
93236,Cosambesti,-2679.6
64997,Varghis,-2682.5
143888,Altina,-2682.5
36649,Cordareni,-2683.95
65139,Micfalau,-2685.4
145738,Seica Mica,-2686.85
28077,Cabesti,-2686.85
32195,Gepiu,-2686.85
159525,Otelec,-2688.3
98738,Romanesti,-2691.2
74108,Seaca De Camp,-2691.2
68565,Pucheni,-2691.2
17423,Moraresti,-2692.65
74616,Vela,-2695.55
125169,Negresti,-2695.55
114060,Branistea,-2710.05
154521,Talpa,-2711.5
135404,Surani,-2712.95
56773,Catina,-2714.4
52936,Glimboca,-2715.85
85877,Subcetate,-2717.3
107118,Baita De Sub Codru,-2718.75
94688,Valea Ciorii,-2720.2
43992,Silistea,-2720.2
14352,Beleti-Negresti,-2723.1
46251,Cilibia,-2724.55
4106,Calnic,-2726.0
128864,Seaca,-2730.35
120218,Viisoara,-2734.7
110571,Bacles,-2739.05
10006,Birchis,-2739.05
69394,Visinesti,-2739.05
88788,Buces,-2740.5
86487,Porumbeni,-2741.95
69447,Varfuri,-2741.95
36532,Concesti,-2741.95
149584,Musenita,-2743.4
152412,Calmatuiu,-2743.4
167231,Fruntiseni,-2746.3
130366,Sarbii - Magura,-2749.2
139054,Terebesti,-2753.55
70566,Almaj,-2760.8
38376,Mitoc,-2762.25
91624,Totesti,-2763.7
144456,Chirpar,-2768.05
94492,Stelnica,-2768.05
15983,Cotmeana,-2769.5
175126,Andreiasu De Jos,-2770.95
136250,Olari,-2770.95
103354,Gostinu,-2773.85
130302,Gavanesti,-2775.3
125105,Ruginoasa,-2778.2
113233,Prunisor,-2784.0
83375,Pauleni-Ciuc,-2786.9
113849,Vanatori,-2786.9
94456,Sfantu Gheorghe,-2786.9
180037,Boghis,-2788.35
154709,Toporu,-2789.8
138618,Pomi,-2791.25
63189,Tortoman,-2791.25
138501,Petresti,-2792.7
114079,Vrata,-2792.7
103693,Iepuresti,-2798.5
64461,Lemnia,-2798.5
180000,Platonesti,-2801.4
115824,Bogata,-2802.85
147713,Carlibaba,-2805.75
176891,Naruja,-2808.65
52650,Doclin,-2813.0
137728,Foieni,-2813.0
22111,Damienesti,-2813.0
174502,Diculesti,-2817.35
53728,Rusca Montana,-2820.25
120076,Vargata,-2831.85
152314,Bujoru,-2833.3
35312,Urmenis,-2833.3
16506,Draganu,-2834.75
80427,Godinesti,-2839.1
19392,Uda,-2842.0
32768,Budesti,-2843.45
80365,Glogova,-2844.9
126503,Cungrea,-2849.25
170168,Glavile,-2852.15
74875,Cotofenii Din Fata,-2859.4
80908,Musetesti,-2862.3
178910,Paulesti,-2862.3
126077,Bucinisu,-2862.3
128301,Poboru,-2866.65
53489,Coronini,-2868.1
88449,Bosorod,-2873.9
146012,Alma,-2873.9
116439,Cuci,-2875.35
