Code,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another,City
100344,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Roscani
100353,99.67170059093894,0.0,0.0,0.0,0.06565988181221274,0.0,0.17509301816590064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08754650908295032,Valea Lupului
100362,89.38257357184074,0.0,10.617426428159261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ciohorani
100521,94.69083548030916,0.057048214942951786,5.077291129922709,0.0,0.01104158998895841,0.057048214942951786,0.01104158998895841,0.0,0.0,0.0,0.00736105999263894,0.0,0.005520794994479205,0.005520794994479205,0.0,0.0,0.0,0.01472211998527788,0.005520794994479205,0.0,0.0,0.057048214942951786,Municipiul Giurgiu
100549,84.20589529256489,0.0,15.794104707435109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Slobozia
100576,92.668359668924,0.04702784048156509,7.105906696764484,0.0,0.0,0.028216704288939052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014108352144469526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13638073739653875,Oras Buftea
100610,93.30345256057512,0.03106416969912133,6.203958462767374,0.0,0.0,0.3461436052187805,0.017750954113783617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04437738528445904,0.05325286234135085,Municipiul Oltenita
100638,94.54326923076923,0.0,5.456730769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mitreni
100683,96.68698458228756,0.04302617425600574,3.1624238078164217,0.02151308712800287,0.0,0.0,0.04302617425600574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04302617425600574,0.0,Municipiul Urziceni
100709,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ciocarlia
100736,95.96735477676428,0.0,4.0326452232357175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manasia
